address,price,village,direction,renovation,square,lease_way,floor,area,layout
东直门,1880,胡家园社区东区,南,精装修,15 ,合租 - 主卧 - 男女不限,中层/共22层,东城,3室1厅1卫
蓟门桥,5600,蓟门里东里,东南,豪华装修,62 ,整租,中层/共18层,海淀,2室1厅1卫
沙河,1200,立鑫苑,南,精装修,32 ,整租,高层/共6层,昌平,1室1厅1卫
丽泽桥,6000,丽泽景园,南,,80 ,整租,高层/共27层,丰台,2室1厅1卫
长阳,2800,加州水郡(西区),南北,精装修,88 ,整租,低层/共15层,房山,2室1厅1卫
定福庄,5800,福盈家园一号院,南,毛坯,85 ,整租,中层/共17层,朝阳,2室1厅1卫
白石桥,8900,海赋国际,南北,豪华装修,80 ,整租,中层/共14层,海淀,1室1厅1卫
窦店,1500,山水汇豪苑(南区),南北,精装修,63 ,整租,高层/共6层,房山,2室1厅1卫
密云周边,2000,果园新里中区,南北,精装修,119,整租,高层/共6层,密云,3室2厅2卫
窦店,1500,北京城建琨廷,暂无,,20 ,合租 - 次卧 - 限女生,信息,房山,3室2厅1卫
大峪,1200,冯村嘉园(一区),南,精装修,24 ,合租 - 主卧 - 男女不限,中层/共23层,门头沟,2室1厅1卫
西单,2000,西单西斜街小区,南,精装修,27 ,合租 - 主卧 - 男女不限,中层/共6层,西城,3室1厅1卫
房山,800,  ,暂无,,70 ,整租,信息,大十三里村,3室1厅1卫
五道口,1500,展春园小区,南,简单装修,15 ,合租 - 次卧 - 男女不限,中层/共6层,海淀,3室1厅1卫
亦庄,8800,星岛假日,南,豪华装修,153,整租,北共5层,大兴,3室2厅2卫
石园,1400,石园北一社区,西,精装修,20 ,合租 - 次卧 - 男女不限,低层/共6层,顺义,3室2厅1卫
团结湖,4800,水碓子北里,南,精装修,55 ,整租,中层/共6层,朝阳,2室1厅1卫
温泉,4600,尚峰尚水,南北,精装修,94 ,整租,低层/共10层,海淀,2室1厅1卫
清河,4300,永泰东里,南北,中等装修,65 ,整租,低层/共6层,海淀,2室1厅1卫
回龙观,2300,回龙观新村中区,暂无,,70 ,合租 - 次卧 - 男女不限,信息,昌平,2室1厅1卫
亚运村,11000,宝石花苑,东西,精装修,134,整租,中层/共11层,朝阳,3室2厅2卫
劲松,7500,华威北里-19号楼,东南,中等装修,90 ,整租,低层/共18层,朝阳,3室0厅1卫
生物医药基地,1180,鑫苑鑫都汇,南,精装修,12 ,合租 - 主卧 - 男女不限,低层/共23层,大兴,3室1厅1卫
望京,2500,南湖中园小区,南,精装修,25 ,合租 - 主卧 - 男女不限,中层/共6层,朝阳,2室1厅1卫
平谷城区,1900,新开街小区,南北,精装修,93 ,整租,高层/共6层,平谷,2室1厅1卫
中央别墅区,16000,中粮祥云,南北,豪华装修,167,整租,高层/共15层,顺义,3室2厅1卫
回龙观,1900,龙锦苑东五区,暂无,,25 ,合租 - 次卧 - 男女不限,信息,昌平,3室1厅2卫
回龙观,2200,东村家园,暂无,,25 ,合租 - 主卧 - 男女不限,信息,昌平,3室1厅1卫
定福庄,1500,定福家园北里,南,精装修,15 ,合租 - 主卧 - 男女不限,中层/共6层,朝阳,3室1厅1卫
良乡,3000,荣鹏花园,南北,精装修,128,整租,低层/共12层,房山,3室1厅1卫
豆各庄,4300,宇达创意中心,西南,,67 ,整租,中层/共7层,朝阳,1室1厅1卫
沙河,1500,沙河于辛庄五号公寓,东,,35 ,整租,中层/共7层,昌平,1室1厅1卫
马家堡,2150,玉安园,南,精装修,20 ,合租 - 主卧 - 男女不限,低层/共15层,丰台,3室1厅1卫
回龙观,8500,蓝天嘉园,南北,,153,整租,中层/共27层,昌平,3室2厅2卫
昌平,1100,  ,暂无,,10 ,合租 - 次卧 - 限女生,信息,昌平区生命科学园珠江摩尔国际大厦,2室1厅1卫
西二旗,1500,领秀硅谷2区(别墅),南,精装修,20 ,合租 - 主卧 - 男女不限,中层/共12层,海淀,3室1厅2卫
通州周边,4200,悦上城,南,精装修,108,整租,中层/共17层,通州,3室2厅3卫
玉泉营,1900,三环新城,南,精装修,18 ,合租 - 主卧 - 男女不限,高层/共15层,丰台,1室0厅0卫
和平里,11500,和平新城,南北,精装修,110,整租,低层/共18层,东城,2室1厅1卫
九棵树,4900,通大家园,南北,精装修,127,整租,中层/共32层,通州,3室2厅2卫
房山城关,1700,万宁小区,南北,简单装修,54 ,整租,高层/共6层,房山,2室1厅1卫
百万庄,面议,百万庄子区,南,中等装修,20 ,合租 - 主卧 - 男女不限,高层/共6层,西城,3室1厅1卫
科技园区,4000,湾流,东南,精装修,38 ,整租,中层/共20层,丰台,1室0厅1卫
马驹桥,2600,联东U谷,南,,35 ,整租,低层/共6层,通州,1室0厅1卫
天通苑,5500,天通苑北一区,南北,中等装修,93 ,整租,低层/共23层,昌平,2室1厅1卫
东市区,1600,上上城青年社区二期,南,精装修,85 ,合租 - 主卧 - 男女不限,中层/共26层,燕郊,2室1厅1卫
良乡,2700,楸树家园,南北,精装修,88 ,整租,中层/共15层,房山,2室2厅2卫
阜成门,7500,民康胡同30号院,东西,精装修,80 ,整租,低层/共18层,西城,2室1厅1卫
亦庄,6300,大雄城市花园一幅画卷,南北,精装修,137,整租,低层/共15层,大兴,3室1厅2卫
管庄,3900,管庄西里,南北,精装修,69 ,整租,低层/共6层,朝阳,2室1厅1卫
朝阳公园,150000,棕榈泉国际公寓,东南,精装修,316,整租,高层/共30层,朝阳,5室3厅5卫
天通苑,5100,公园两栋,南,精装修,55 ,整租,高层/共11层,昌平,2室1厅1卫
亚运村,1400,安慧北里逸园,暂无,,15 ,合租 - 隔断 - 男女不限,信息,朝阳,3室1厅1卫
马连洼,5500,山语间(保利西山林语),南北,精装修,93 ,整租,高层/共8层,海淀,3室1厅1卫
阜成门,1530,洪茂沟小区,南,精装修,19 ,合租 - 主卧 - 男女不限,高层/共22层,西城,3室1厅1卫
酒仙桥,9000,飘HOME,东南,精装修,87 ,整租,低层/共25层,朝阳,2室1厅1卫
通州北苑,16000,天时名苑,南北,精装修,230,整租,低层/共20层,通州,4室2厅2卫
良乡,3000,瑞雪春堂,南北,简单装修,88 ,整租,低层/共15层,房山,2室1厅2卫
五棵松,8800,雪芳园,南北,精装修,136,整租,低层/共16层,海淀,3室1厅2卫
亚运村,5000,安慧北里逸园,南北,精装修,60 ,整租,中层/共6层,朝阳,1室1厅1卫
十里堡,8000,都会华庭,东南,简单装修,133,整租,高层/共20层,朝阳,2室2厅2卫
安贞,2400,安华里四区,南,精装修,20 ,合租 - 主卧 - 男女不限,中层/共20层,朝阳,3室1厅1卫
长辛店,2700,珠光逸景(一号院),南北,精装修,65 ,整租,高层/共6层,丰台,1室1厅1卫
国贸,7000,世纪东方嘉园(南区),西北,精装修,90 ,整租,高层/共20层,朝阳,2室2厅2卫
牛街,2300,似海怡家,南,精装修,17 ,合租 - 次卧 - 男女不限,中层/共24层,宣武,1室1厅1卫
旧宫 ,2500,瀛海家园,南北,简单装修,80 ,整租,中层/共18层,大兴,1室1厅1卫
人民大学,5000,中央民族大学家属楼,南,精装修,67 ,整租,低层/共7层,海淀,2室1厅1卫
果园,3500,半壁店新村,南北,豪华装修,88 ,整租,中层/共18层,通州,2室1厅1卫
垡头,5100,燕保祈东家园,南北,,81 ,整租,低层/共28层,朝阳,2室1厅1卫
广安门内,5500,车站西街17号院,南,精装修,75 ,整租,中层/共27层,宣武,2室1厅1卫
方庄,5000,芳群园二区,南,精装修,82 ,整租,中层/共22层,丰台,2室1厅1卫
张家湾,5000,通州于家务,南,毛坯,400,整租,低层/共6层,通州,2室1厅1卫
亚运村小营,2500,嘉铭桐城A区,南北,豪华装修,25 ,合租 - 主卧 - 男女不限,中层/共18层,朝阳,1室1厅1卫
沙河,1212,恒大城5号院,南,精装修,20 ,合租 - 主卧 - 男女不限,中层/共28层,昌平,3室1厅1卫
西红门,1720,瑞海五区(瑞海家园五区),南,精装修,19 ,合租 - 主卧 - 男女不限,中层/共12层,大兴,3室1厅1卫
菜户营,1800,鹏润家园,南,精装修,10 ,合租 - 次卧 - 男女不限,低层/共25层,丰台,4室2厅2卫
酒仙桥,4200,北窑地小区,南,精装修,40 ,整租,中层/共6层,朝阳,1室1厅1卫
南沙滩,2500,安翔里,暂无,,20 ,合租 - 次卧 - 男女不限,信息,朝阳,2室1厅1卫
陶然亭,18000,一瓶,东南,精装修,159,整租,中层/共13层,宣武,2室2厅2卫
公主坟,6600,翠微北里,南北,精装修,41 ,整租,低层/共6层,海淀,2室1厅1卫
黄村,1200,佟馨家园B区,南北,精装修,15 ,整租,低层/共13层,大兴,3室2厅2卫
增光路,6600,甘家口小区,东西,精装修,70 ,整租,低层/共9层,海淀,2室1厅1卫
亚运村,2300,安慧北里逸园,暂无,,24 ,合租 - 主卧 - 男女不限,信息,朝阳,3室1厅1卫
其他,1500,尚文苑,南北,,117,整租,中层/共7层,北京周边,3室2厅1卫
团结湖,28000,富力爱丁堡公馆,南北,精装修,195,整租,低层/共15层,朝阳,3室2厅3卫
五道口,6500,红杉国际公寓,西,豪华装修,88 ,整租,中层/共19层,海淀,1室1厅1卫
香山,5000,北坞嘉园,南北,精装修,57 ,整租,低层/共6层,海淀,1室1厅1卫
望京,11000,融科橄榄城(二期),南,,106,整租,低层/共28层,朝阳,2室2厅1卫
昌平县城,1250, ,暂无,,25 ,合租 - 次卧 - 男女不限,信息,昌平,3室2厅2卫
龙泽,6100,融泽嘉园一号院,南北,精装修,88 ,整租,低层/共31层,昌平,3室1厅1卫
沙河,4800,于辛家园,东西,精装修,120,整租,高层/共6层,昌平,3室2厅1卫
马坡,12500,安乐家园,南共,,480,整租,1层,顺义,6室5厅2卫
area,floor,price,renovation,village,address,lease_way,square,direction,layout
朝阳,中层/共18层,12500,精装修,晨光家园B区,十里堡,整租,135,东,3室1厅2卫
通州,高层/共28层,2000,精装修,北苑南路24号院,通州北苑,合租 - 主卧 - 男女不限,22 ,南,3室1厅1卫
延庆,低层/共6层,1600,,东屯,延庆城区,整租,41 ,北,1室1厅1卫
朝阳,高层/共6层,2500,精装修,三源里南小街小区,三元桥,合租 - 次卧 - 男女不限,22 ,南北,3室1厅1卫
丰台,高层/共12层,11000,精装修,未来上层(草桥欣园四区),草桥,整租,170,南北,4室2厅2卫
房山,中层/共6层,2000,简单装修,健德四里,阎村,整租,81 ,南北,2室1厅1卫
顺义,高层/共6层,3300,精装修,石园北区,顺义城区,整租,130,南北,3室1厅1卫
顺义,中层/共11层,6550,精装修,空港吉祥花园,中央别墅区,整租,133,南北,3室2厅2卫
朝阳,高层/共28层,3800,精装修,金隅悦和园,东坝,整租,64 ,南,1室1厅1卫
朝阳,信息,1800,,富东嘉园,东坝,合租 - 主卧 - 限女生,104,暂无,2室1厅1卫
通州,中层/共6层,999,精装修,阿尔法社区B区,九棵树,整租,16 ,南,4室1厅2卫
朝阳,中层/共6层,5200,,顺源里小区,三元桥,整租,45 ,南北,1室1厅1卫
朝阳,中层/共7层,13000,精装修,银谷美泉家园,朝阳公园,整租,144,南北,3室2厅2卫
大兴,中层/共6层,2000,精装修,福苑小区,黄村,整租,60 ,南北,1室1厅1卫
昌平,3层,1000,,沙河中心街,沙河,整租,29 ,南共,1室0厅1卫
大兴,信息,2200,, ,西红门,合租 - 主卧 - 男女不限,20 ,暂无,3室1厅1卫
海淀,低层/共6层,5900,简单装修,增光路甲51号院,航天桥,整租,65 ,南北,2室1厅1卫
朝阳,低层/共28层,8500,简单装修,通惠家园惠民园,四惠,整租,118,东北,3室1厅1卫
通州,中层/共6层,2000,精装修,新华联家园北区,果园,合租 - 主卧 - 男女不限,25 ,南北,4室2厅2卫
顺义,中层/共13层,3700,精装修,中建国际城,胜利,整租,82 ,南北,2室1厅1卫
朝阳,低层/共6层,13500,豪华装修,首开铂郡,三里屯,整租,98 ,东南,1室1厅0卫
昌平,信息,1750,,龙锦苑东一区,回龙观,合租 - 次卧 - 男女不限,20 ,暂无,3室1厅2卫
西城,中层/共25层,6800,,远见名苑(一期),广安门外,整租,80 ,西南,2室1厅1卫
密云,中层/共6层,2000,精装修,康居南区,密云城区,整租,122,南北,3室2厅2卫
朝阳,低层/共28层,1500,精装修,燕保祈东家园,垡头,合租 - 主卧 - 男女不限,22 ,南,1室1厅1卫
大兴,高层/共16层,4500,精装修,南海家园三里,亦庄,整租,106,南,3室1厅1卫
密云,北共4层,1500,精装修,亚澜湾,密云周边,整租,48 ,南,1室1厅1卫
丰台,中层/共6层,4200,精装修,三路居93号院,菜户营,整租,60 ,南北,2室1厅1卫
朝阳,中层/共6层,3000,精装修,南湖渠西里,望京,整租,50 ,南,1室1厅1卫
大兴,北共3层,19000,精装修,一栋洋房,亦庄,整租,261,南,5室2厅4卫
朝阳,中层/共9层,27000,豪华装修,华悦国际公寓,亚运村,整租,217,南北,4室2厅2卫
燕郊,中层/共17层,1800,,上上城第三季,燕顺路,整租,78 ,南,2室1厅1卫
朝阳,信息,3300,,吉利家园,芍药居,合租 - 次卧 - 限女生,20 ,暂无,3室2厅2卫
昌平,中层/共11层,5250,精装修,紫金新干线四区,霍营,整租,90 ,南北,3室1厅1卫
海淀,信息,2790,,裕和嘉园,上地,合租 - 主卧 - 男女不限,22 ,暂无,3室1厅1卫
昌平,高层/共9层,5300,,北安河路甲8号院,回龙观,整租,112,南,3室2厅1卫
丰台,高层/共6层,3000,精装修,云岗北区东里,云岗,整租,70 ,南北,2室1厅1卫
大兴,中层/共25层,6500,精装修,新里西斯莱公馆,黄村,整租,88 ,南北,3室1厅1卫
海淀,信息,1200,, ,学院路北,合租 - 次卧 - 限女生,20 ,暂无,3室1厅1卫
昌平,高层/共18层,1000,精装修,天通苑西三区,天通苑,合租 - 次卧 - 男女不限,18 ,南,3室1厅2卫
朝阳,信息,2800,, ,十里堡,合租 - 次卧 - 男女不限,16 ,暂无,2室1厅1卫
朝阳,信息,2500,,通惠家园惠民园,甘露园,合租 - 主卧 - 男女不限,26 ,暂无,3室1厅1卫
朝阳,高层/共12层,7200,,左家庄11号院,国展,整租,63 ,南,2室1厅1卫
朝阳,低层/共32层,11500,精装修,上东双子座,酒仙桥,整租,80 ,南,1室1厅1卫
大兴,低层/共6层,4800,,北空住宅小区,旧宫 ,整租,102,南北,2室1厅1卫
房山,高层/共6层,1500,,檀香苑,房山周边,整租,95 ,南,2室1厅1卫
海淀,高层/共27层,11000,简单装修,太月园(南区),知春路,整租,98.,西南,2室1厅1卫
密云,中层/共6层,3000,精装修,彩虹园小区,密云周边,整租,115,南北,2室2厅1卫
丰台,低层/共6层,5600,精装修,泥洼路5号院,丽泽桥,整租,90 ,南北,3室1厅1卫
朝阳,中层/共6层,4900,精装修,延静里中街小区,CBD ,整租,70 ,南北,2室1厅1卫
昌平,低层/共10层,4500,精装修,东关南里,昌平县城,整租,145,南北,3室2厅2卫
朝阳,高层/共28层,3800,精装修,周庄嘉园7号院,媒体村,整租,56 ,南,1室1厅1卫
海淀,信息,2300,,肖家河回迁住宅(东区),肖家河,合租 - 主卧 - 男女不限,20 ,暂无,3室1厅1卫
朝阳,中层/共6层,2800,精装修,南湖中园小区,望京,合租 - 主卧 - 男女不限,30 ,东南,3室2厅2卫
  暂无信息,高层/共6层,1300,简单装修,北高层/共6层,双高花园住宅小区,合租 - 次卧 - 限女生,15 ,北,2室1厅1卫
通州,高层/共6层,1250,精装修,杨家洼小区,梨园,合租 - 次卧 - 男女不限,18 ,南,3室1厅1卫
海淀,中层/共12层,1500,精装修,领秀硅谷2区(别墅),西二旗,合租 - 主卧 - 男女不限,20 ,南,3室1厅2卫
海淀,低层/共10层,9800,精装修,琨御府,五路居,整租,89 ,南,2室1厅1卫
昌平,中层/共28层,1212,精装修,恒大城5号院,沙河,合租 - 主卧 - 男女不限,20 ,南,3室1厅1卫
大兴,低层/共6层,4100,精装修,泰中花园,黄村,整租,110,南北,2室2厅2卫
朝阳,信息,2420,,连心园,常营,合租 - 主卧 - 限女生,18 ,暂无,3室1厅1卫
海淀,中层/共24层,1700,精装修,智学苑,西二旗,整租,20 ,南,3室1厅1卫
通州,中层/共6层,3100,精装修,葛布店南里,九棵树,整租,65 ,南北,2室1厅1卫
朝阳,低层/共23层,2800,精装修,金泰先锋,百子湾,合租 - 主卧 - 男女不限,34 ,南,2室1厅1卫
朝阳,中层/共24层,1700,精装修,力源里小区,四惠,合租 - 隔断 - 男女不限,15 ,南,3室1厅2卫
大兴,信息,2100,,贵园南里丁区,亦庄,合租 - 次卧 - 男女不限,15 ,暂无,3室1厅1卫
昌平,高层/共12层,1200,精装修,天通苑北一区,天通苑,合租 - 次卧 - 男女不限,18 ,东,3室1厅2卫
朝阳,低层/共21层,6600,精装修,龙湖长楹天街,常营,整租,62 ,西南,1室1厅1卫
朝阳,中层/共30层,3500,精装修,方舟苑,望京,合租 - 主卧 - 男女不限,34 ,东南,3室2厅2卫
顺义,中层/共10层,4000,,炫立方,顺义城区,整租,100,东,2室1厅2卫
朝阳,高层/共18层,3500,精装修,望京 望京西园一区,望京,合租 - 主卧 - 男女不限,17 ,南,3室2厅2卫
朝阳,信息,1400,,花虎沟8号院畅清园,奥林匹克公园,合租 - 隔断 - 男女不限,16 ,暂无,3室1厅1卫
朝阳,低层/共28层,15000,精装修,金茂府,双井,整租,85 ,西,1室1厅1卫
海淀,信息,2850,,裕和嘉园,马连洼,合租 - 主卧 - 男女不限,26 ,暂无,2室1厅1卫
平谷,中层/共6层,1500,精装修,乐园东小区,平谷城区,整租,98 ,南北,3室1厅1卫
朝阳,信息,2400,, ,四惠,合租 - 主卧 - 男女不限,24 ,暂无,4室1厅1卫
西城,中层/共16层,3100,,荣丰2008,广安门外,整租,30 ,北,1室1厅1卫
丰台,低层/共24层,6000,精装修,顶秀金石家园,宋家庄,整租,85 ,南,2室1厅1卫
大兴,中层/共15层,9500,豪华装修,中冶德贤公馆,旧宫 ,整租,140,南北,3室2厅2卫
海淀,中层/共9层,5700,精装修,中国房子,田村,整租,71.,南,1室1厅1卫
崇文,中层/共6层,8500,精装修,东花市北里东区,崇文门,整租,81 ,南北,2室1厅1卫
lease_way,renovation,price,area,layout,direction,square,village,floor,address
整租,精装修,1900,朝阳,3室1厅1卫,南,15 ,八里庄北里小区(朝阳),低层/共6层,八里庄
合租 - 主卧 - 男女不限,,1600,昌平,3室1厅1卫,暂无,20 ,水屯家园,信息,昌平县城
合租 - 次卧 - 男女不限,精装修,2300,海淀,2室1厅1卫,南,15 ,新街口外大街23号院,高层/共6层,北太平庄
合租 - 隔断 - 男女不限,中等装修,700,朝阳,3室1厅1卫,南,10 ,姚家园东里,中层/共16层,朝阳公园
整租,精装修,5350,崇文,2室1厅1卫,南,70 ,天坛东里南区,中层/共16层,天坛
合租 - 主卧 - 男女不限,精装修,2200,朝阳,3室1厅1卫,南,25 ,晨光家园B区,中层/共12层,石佛营
合租 - 次卧 - 男女不限,精装修,1400,海淀,3室1厅1卫,南,13 ,交大静园,中层/共6层,大钟寺
整租,精装修,12000,朝阳,1室1厅1卫,东西,78 ,华远裘马都,高层/共21层,三元桥
整租,精装修,3500,石景山,2室1厅1卫,西北,60 ,老山西里,高层/共6层,老山
整租,精装修,4000,崇文,1室1厅1卫,南,50 ,安化北里,高层/共6层,广渠门
整租,精装修,25000,海淀,4室2厅3卫,南北,267,亿城西山华府禧园,高层/共8层,马连洼
整租,精装修,1000,燕郊,1室1厅1卫,南,54 ,福城上上城五期,低层/共28层,东市区
合租 - 次卧 - 男女不限,精装修,1900,海淀,3室1厅1卫,南,20 ,志新村小区,中层/共6层,二里庄
整租,精装修,3000,顺义,2室1厅1卫,南北,90 ,佳和宜园,中层/共6层,马坡
合租 - 主卧 - 限女生,,850,朝阳,3室1厅1卫,暂无,12 ,松榆东里,信息,松榆里
合租 - 次卧 - 男女不限,精装修,2800,海淀,2室1厅1卫,东,20 ,稻香园小区,中层/共12层,苏州桥
整租,精装修,6700,海淀,1室1厅1卫,西,48.,金尚嘉园,低层/共14层,牡丹园
合租 - 主卧 - 男女不限,精装修,2000,丰台,3室1厅1卫,南,22 ,方庄南路18号院,低层/共26层,成寿寺
合租 - 主卧 - 男女不限,精装修,3000,朝阳,2室1厅1卫,南北,30 ,樱花园小区,中层/共6层,安贞
合租 - 主卧 - 男女不限,精装修,3200,宣武,3室1厅1卫,南共,40 ,广安小区,1层,马连道
合租 - 主卧 - 男女不限,,1950,丰台,2室1厅1卫,暂无,25 ,顶秀金颐家园,信息,宋家庄
整租,精装修,5000,朝阳,2室2厅1卫,西北,86 ,富力又一城C区,中层/共21层,豆各庄
合租 - 主卧 - 男女不限,,1700,大兴,3室2厅2卫,暂无,25 ,瑞海一区(瑞海家园一区),信息,西红门
整租,精装修,6003,朝阳,1室1厅1卫,东北,69 ,望京新城,低层/共20层,望京
整租,,1200,朝阳,1室1厅1卫,南共,16 ,北京市朝阳区崔各庄费家村,3层,孙河
整租,精装修,4300,丰台,1室1厅1卫,西,65 ,鸿业兴园二区,中层/共26层,科技园区
合租 - 主卧 - 男女不限,精装修,2300,丰台,3室1厅1卫,南,26 ,紫芳园一区,高层/共25层,方庄
整租,,4300,丰台,2室1厅2卫,南,30 ,GOGO新世代,中层/共23层,方庄
合租 - 主卧 - 男女不限,,2650,丰台,3室1厅1卫,暂无,20 ,榴景秀苑,信息,宋家庄
合租 - 主卧 - 男女不限,,2000,通州,2室1厅1卫,暂无,15 ,康泉小区,信息,八里桥
合租 - 主卧 - 男女不限,,3500,朝阳,1室1厅1卫,暂无,30 ,顺源里,信息,燕莎
合租 - 次卧 - 男女不限,,2380,海淀,2室1厅1卫,暂无,13 ,铁西住宅小区,信息,军博
合租 - 次卧 - 男女不限,精装修,1350,昌平,3室1厅2卫,南,20 ,天通苑西三区,中层/共17层,天通苑
合租 - 隔断 - 男女不限,,1600,海淀,1室1厅1卫,暂无,9  ,石油大院,信息,学院路
合租 - 主卧 - 男女不限,,3500,朝阳,3室1厅2卫,暂无,30 ,百环花园,信息,潘家园
合租 - 次卧 - 男女不限,,2700,大兴,4室1厅3卫,暂无,245,宣颐家园,信息,旧宫 
合租 - 主卧 - 男女不限,精装修,1500,朝阳,3室1厅1卫,南,15 ,定福家园北里,中层/共6层,定福庄
整租,,8500,昌平,3室2厅2卫,南北,153,蓝天嘉园,中层/共27层,回龙观
合租 - 次卧 - 男女不限,精装修,1500,海淀,3室1厅1卫,北,19 ,上地佳园,低层/共6层,上地
合租 - 主卧 - 男女不限,,2300,朝阳,2室1厅1卫,暂无,20 ,北辰福第南区,信息,常营
整租,,1500,朝阳,1室1厅1卫,南,50 ,US联邦公寓,低层/共10层,燕莎
整租,,6000,朝阳,2室1厅1卫,南,60 ,安华西里(一区),中层/共20层,安贞
合租 - 次卧 - 男女不限,,2500,朝阳,2室1厅1卫,暂无,20 ,安翔里,信息,南沙滩
整租,中等装修,7500,朝阳,3室0厅1卫,东南,90 ,华威北里-19号楼,低层/共18层,劲松
合租 - 次卧 - 男女不限,精装修,1800,丰台,4室2厅2卫,南,10 ,鹏润家园,低层/共25层,菜户营
整租,精装修,1690,房山,2室1厅1卫,南北,85 ,马各庄小区,中层/共18层,房山城关
合租 - 主卧 - 限女生,,面议,海淀,3室1厅1卫,暂无,100,中关村东路保福寺桥南软件园小区,信息,中关村
整租,,750,西海洪,1室1厅1卫,南共,19 ,  ,2层,顺义
整租,精装修,150000,海淀,5室3厅4卫,南北,568,国悦府,高层/共19层,公主坟
合租 - 主卧 - 男女不限,简单装修,2800,朝阳,2室1厅1卫,南,18 ,福盈家园西区,中层/共20层,定福庄
合租 - 次卧 - 男女不限,简单装修,1100,昌平,3室1厅2卫,南,25 ,天通苑北一区,低层/共18层,天通苑
整租,精装修,1800,燕郊,2室1厅1卫,南,77 ,紫竹园,北共5层,迎宾路
整租,,1550,东城,1室1厅1卫,南,50 ,朝阳门北小街小区,中层/共10层,朝阳门
合租 - 主卧 - 男女不限,,3600,海淀,2室1厅1卫,暂无,28 ,七贤村小区,信息,北洼路
整租,精装修,5500,丰台,2室1厅1卫,南北,70 ,东铁营横一条小区,中层/共6层,成寿寺
合租 - 主卧 - 男女不限,,2300,海淀,3室1厅1卫,暂无,20 ,肖家河回迁住宅(东区),信息,肖家河
合租 - 主卧 - 男女不限,,2300,海淀,3室1厅1卫,暂无,20 ,肖家河回迁住宅(东区),信息,肖家河
合租 - 主卧 - 限女生,中等装修,1250,  暂无信息,2室1厅1卫,南,25 ,南中层/共6层,中层/共6层,上南一村
整租,精装修,3500,朝阳,1室1厅1卫,南北,30 ,华纺易城,高层/共12层,朝青板块
合租 - 主卧 - 男女不限,,550,通州金缘A区,1室1厅1卫,暂无,30 ,  ,信息,通州
